,x_pixel,y_pixel
C_2154,13740,17906
C_2156,18022,8473
C_2162,9190,10947
C_2164,15505,16308
C_2166,16764,12971
C_2169,18022,8763
C_2171,15246,9491
C_2173,15756,14713
C_2175,14751,19355
C_2179,13983,7317
C_2183,8687,12688
C_2185,8938,10512
C_2186,15507,18919
C_2187,12226,18777
C_2189,13733,10363
C_2192,16509,10215
C_2194,8945,18345
C_2195,9946,9351
C_2196,15002,18630
C_2198,14498,19501
C_2202,15004,20661
C_2204,20047,14854
C_2206,6418,15736
C_2208,20295,10357
C_2209,20301,17029
C_2210,15509,20950
C_2212,21056,14273
C_2213,20299,14128
C_2214,11968,11960
C_2215,14741,8331
C_2216,12983,18922
C_2217,15251,15003
C_2218,8183,12979
C_2221,7683,18781
C_2225,14996,11087
C_2226,11215,17328
C_2227,15762,21385
C_2229,14236,8622
C_2231,10707,12977
C_2232,7684,19652
C_2233,10706,12396
C_2234,19792,12388
C_2236,15753,11521
C_2237,13228,10073
C_2242,14236,8332
C_2247,13740,18196
C_2249,8437,14864
C_2250,20800,10647
C_2255,16514,15437
C_2256,8944,17765
C_2257,15000,16019
C_2258,19285,10068
C_2262,14992,7025
C_2263,15249,11812
C_2264,18780,9778
C_2266,11465,14862
C_2268,20805,16159
C_2269,9194,15299
C_2271,6670,14721
C_2272,14491,11378
C_2273,17012,8184
C_2274,14243,16165
C_2276,15003,18920
C_2277,20300,15579
C_2278,19795,15289
C_2279,8938,11092
C_2281,19284,8907
C_2282,19289,14709
C_2284,13480,10218
C_2286,8689,15009
C_2287,9451,20666
C_2288,19291,16740
C_2292,16262,16453
C_2293,9196,17620
C_2298,16001,6734
C_2299,10200,10656
C_2300,16512,13116
C_2301,18787,17031
C_2302,14235,6881
C_2305,15257,20805
C_2309,15507,18049
C_2310,20803,14128
C_2312,13982,6736
C_2316,16767,15872
C_2319,16262,15873
C_2324,12225,17617
C_2328,14498,18630
C_2330,11207,7754
C_2333,8942,15734
C_2335,12721,7753
C_2338,20044,12243
C_2339,9695,10367
C_2341,14749,17615
C_2346,5914,16317
C_2351,8435,13124
C_2353,15246,8911
C_2354,14499,19791
C_2357,18527,8763
C_2358,11213,15007
C_2359,19291,16160
C_2360,7932,15155
C_2362,10207,19069
C_2363,8685,10367
C_2367,9693,8626
C_2368,18784,13549
C_2369,15758,16453
C_2370,12216,7463
C_2371,12224,16456
C_2372,14489,9637
C_2375,19034,11664
C_2378,15254,17614
C_2381,11459,7319
C_2386,15507,18339
C_2391,16516,17758
C_2392,16759,7749
C_2393,10449,7610
C_2395,13989,14279
C_2396,10452,10221
C_2398,15252,15293
C_2400,12476,16021
C_2402,6923,16026
C_2406,15506,17469
C_2407,17527,18918
C_2408,13730,7462
C_2411,15753,11812
C_2412,16258,11811
C_2413,13490,21242
C_2414,15244,6880
C_2416,15251,14423
C_2419,15002,17759
C_2422,12468,7318
C_2424,9696,11527
C_2426,19036,13694
C_2428,8693,19651
C_2430,8179,8627
C_2432,17519,10505
C_2433,20551,14273
C_2434,6672,17622
C_2436,9451,20375
C_2437,12226,18197
C_2438,9189,9787
C_2442,11964,7608
C_2445,8180,10078
C_2448,16761,9780
C_2449,8943,16605
C_2450,9442,10222
C_2451,9703,20230
C_2453,18788,17901
C_2455,12224,16166
C_2456,15749,6590
C_2458,14742,9782
C_2459,19796,16740
C_2460,9700,16459
C_2464,14491,11087
C_2466,14743,10652
C_2470,10451,9931
C_2471,14493,13408
C_2472,8940,13703
