,xpixels,ypixels,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
2884,11421,21342,stroma,a_others,a_others,a_others,a_others,stroma2
2885,5605,15112,tumor,a_others,a_others,a_others,a_others,tumor1
2886,7877,14964,stroma,a_others,a_others,a_others,a_others,stroma2
2887,17465,12338,tumor,tumor_5,a_others,a_others,a_others,tumor2
2888,8623,7854,stroma,stroma_2,a_others,a_others,a_others,stroma1
2889,14701,20611,tumor,a_others,a_others,a_others,a_others,tumor2
2890,20509,21618,immune,a_others,a_others,a_others,a_others,immune
2891,6618,16852,tumor,tumor_3,a_others,a_others,tumor,tumor1
2892,18217,9000,stroma,a_others,a_others,a_others,a_others,stroma2
2893,6862,11484,stroma,a_others,a_others,a_others,a_others,stroma1
2894,13932,12924,immune,a_others,a_others,a_others,a_others,immune
2895,10412,22214,tumor,a_others,a_others,a_others,a_others,tumor1
2896,13419,7702,tumor,a_others,a_others,a_others,a_others,tumor2
2897,11167,20327,stroma,a_others,a_others,a_others,a_others,stroma2
2898,20508,21328,immune,a_others,a_others,a_others,a_others,immune
2899,16724,22930,immune,a_others,a_others,a_others,a_others,immune
2900,17217,15385,stroma,a_others,a_others,a_others,a_others,stroma2
2901,17213,12774,tumor,tumor_5,a_others,a_others,a_others,tumor2
2902,12421,15537,stroma,stroma_1,a_others,stroma,a_others,stroma2
2903,12431,21630,stroma,a_others,a_others,a_others,a_others,stroma1
2904,12405,5092,stroma,a_others,a_others,a_others,a_others,stroma2
2905,12165,12781,tumor,a_others,a_others,a_others,a_others,tumor1
2906,17225,20317,stroma,a_others,a_others,a_others,a_others,stroma2
2907,5346,10616,tumor,a_others,a_others,a_others,a_others,tumor2
2908,15953,14081,tumor,tumor_5,a_others,a_others,a_others,tumor2
2909,7383,22509,immune,immune_2,immune_2,a_others,immune,immune
2910,22256,8704,stroma,a_others,a_others,a_others,a_others,stroma2
2911,4098,20047,tumor,a_others,a_others,a_others,a_others,tumor1
2912,9650,19168,tumor,a_others,a_others,a_others,a_others,tumor2
2913,11919,17279,stroma,stroma_1,a_others,stroma,a_others,stroma2
2914,6860,10323,tumor,a_others,a_others,a_others,a_others,tumor2
2915,17970,12627,tumor,tumor_5,a_others,a_others,a_others,tumor2
2916,16196,7843,immune,a_others,a_others,a_others,a_others,immune
2917,16220,23220,stroma,a_others,a_others,a_others,a_others,stroma2
2918,19748,19733,immune,a_others,a_others,a_others,a_others,immune
2919,16957,10017,immune,a_others,a_others,a_others,a_others,immune
