,x_pixel,y_pixel,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
C_851,18781,10939,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_853,8946,20376,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_856,14992,6735,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_857,8690,15879,immune,immune_2,a_others,immune,a_others,immune_2
C_859,16008,14857,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_860,6419,16607,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_862,8431,8482,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_863,17012,7604,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_868,7676,11529,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_870,11462,10800,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_871,13225,6882,immune,a_others,a_others,a_others,a_others,immune_3
C_872,13983,7897,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_875,7927,9063,immune,a_others,a_others,a_others,a_others,immune_3
C_879,17265,8909,immune,immune_1,a_others,a_others,immune,immune_1
C_882,13226,8042,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_887,7431,19217,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_888,13477,6447,immune,a_others,a_others,a_others,a_others,immune_3
C_889,16510,11666,fibrous,immune_1,a_others,a_others,a_others,immune_1
C_890,11712,8914,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_891,11207,8334,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_894,9694,9786,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_897,7173,13270,immune,immune_2,a_others,immune,a_others,immune_2
C_898,15496,6735,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_899,11719,16167,immune,a_others,a_others,a_others,a_others,immune_2
C_902,13238,21678,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_903,11972,16312,immune,a_others,a_others,a_others,a_others,immune_2
C_906,17013,9054,immune,immune_1,a_others,a_others,immune,immune_1
C_908,9704,20520,fat,a_others,a_others,a_others,a_others,fat
C_909,15752,10361,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_910,8692,17910,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_911,13731,8332,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_913,14242,15004,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_914,16011,18049,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_916,16509,9925,immune,immune_1,a_others,a_others,immune,immune_1
C_917,7675,9788,immune,a_others,a_others,a_others,a_others,immune_3
C_920,16506,6734,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_921,6671,15591,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_923,12986,21243,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_924,19284,8617,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_926,20804,14998,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_928,7928,10223,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_932,11966,9929,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_937,8945,18925,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_941,16760,8910,immune,immune_1,a_others,a_others,immune,immune_1
C_942,12219,10364,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_948,12467,6448,immune,a_others,a_others,a_others,a_others,immune_3
C_949,11711,7174,immune,a_others,a_others,a_others,a_others,immune_3
C_950,10201,12397,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_951,13491,21532,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_958,18284,18772,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_959,21056,13983,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_960,8437,15735,immune,immune_2,a_others,immune,a_others,immune_2
C_962,9955,18924,fat,a_others,a_others,a_others,a_others,fat
C_966,16006,12247,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_967,7175,15301,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_968,15497,7315,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_969,8442,20376,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_970,11966,10219,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_971,19541,13404,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_972,14498,18920,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_973,15255,18775,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_974,12724,11234,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_976,15749,6880,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_977,16253,6589,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_978,9449,18055,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_980,14493,13989,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_986,7932,14865,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_990,14995,10217,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_991,17518,9344,immune,immune_1,a_others,a_others,immune,immune_1
C_995,13734,12104,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_997,20296,10937,tumor,a_others,a_others,a_others,a_others,tumor_5
C_998,15246,8621,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1001,18028,15726,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1002,10452,10511,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_1005,10198,9206,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_1007,13489,19501,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1008,5659,13561,fat,a_others,a_others,a_others,a_others,fat
C_1009,16770,19934,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1010,13737,14714,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1011,10455,13412,immune,a_others,a_others,a_others,a_others,immune_2
C_1012,13478,7607,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1013,16001,6444,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1014,9700,16749,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_1015,20050,18045,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1018,14495,15729,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1020,18534,16886,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1021,16760,8039,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1022,17770,8619,immune,immune_1,a_others,a_others,immune,immune_1
C_1025,14498,19210,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_1028,13230,12104,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1029,13489,19792,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1030,7171,10369,immune,a_others,a_others,a_others,a_others,immune_3
C_1031,8432,9642,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_1034,11966,10510,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1037,18529,11374,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_1038,20297,12678,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_1039,14237,9492,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1042,11468,17473,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1048,18787,16741,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1051,12474,13700,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1053,10714,21390,fat,a_others,a_others,a_others,a_others,fat
C_1056,15257,21095,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1057,5659,13271,fat,a_others,a_others,a_others,a_others,fat
C_1060,16012,18339,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_1062,11716,13266,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1063,13988,13119,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_1064,21057,16013,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1065,11720,17617,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1066,14496,17180,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1072,14238,10362,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_1073,16005,10796,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1074,7431,19507,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_1075,7927,9643,immune,a_others,a_others,a_others,a_others,immune_3
C_1077,9703,19360,fat,a_others,a_others,a_others,a_others,fat
C_1079,20802,12387,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1081,6923,15446,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_1082,11716,12976,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1083,11206,7174,immune,a_others,a_others,a_others,a_others,immune_3
C_1084,15502,12537,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1085,20048,16304,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1086,19537,8762,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1088,17265,8329,immune,immune_1,a_others,a_others,immune,immune_1
C_1090,7679,14140,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_1093,19540,13114,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_1095,13480,9638,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1096,14495,16309,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1097,19285,9197,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1099,20296,11227,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1100,10705,10946,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_1101,18781,10068,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1102,16014,21240,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_1103,18535,17756,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1104,7178,18202,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_1105,20046,13984,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1108,14747,15874,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1109,10209,20810,fat,a_others,a_others,a_others,a_others,fat
C_1111,12219,10944,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1113,8188,18491,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_1115,17519,11085,tumor,immune_1,a_others,a_others,a_others,immune_1
C_1116,12723,10364,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_1117,14746,14133,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1120,12976,10218,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_1124,14747,15584,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1130,13227,8623,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1131,12474,13410,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1133,17013,8764,immune,immune_1,a_others,a_others,immune,immune_1
C_1135,18782,11229,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_1136,11460,8769,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_1138,11975,20083,tumor,tumor_6,a_others,a_others,a_others,tumor_7
